countOfNum countOfIterations time
9457 152297 319480 0
2614 39319 26870 0
7216 106591 81920 0
1408 16797 10730 0
9158 129422 45080 0
5534 78271 24310 0
7306 113937 31980 0
857 9839 3310 0
3518 47097 14720 0
3870 50023 15790 0
573 5328 2020 0
3211 44298 12730 0
4786 64803 20240 0
8374 133427 36320 0
476 4771 1740 0
9862 166386 42550 0
9983 151768 45260 0
1862 22409 7230 0
907 10781 3120 0
8449 121771 37740 0
3707 51932 15060 0
6649 94628 28660 0
5346 77249 22250 0
9028 150623 39970 0
5494 86809 30350 0
5335 72579 23240 0
7071 100641 30010 0
2374 31015 9520 0
5897 85094 24630 0
9165 139644 40730 0
9731 148665 43620 0
5636 79313 23670 0
759 7878 2620 0
1857 20869 6950 0
8270 122573 36610 0
9749 152155 42580 0
4801 63832 19710 0
7014 108188 28890 0
9671 143089 42560 0
6527 97228 27150 0
6990 113516 29990 0
637 6423 2170 0
895 9846 3160 0
3428 46838 13240 0
5142 71830 21380 0
7459 111998 31860 0
2215 25929 8500 0
1517 19044 6230 0
3813 54322 15270 0
2383 31163 9300 0
