countOfNum countOfIterations time
9457 152297 548540
2614 39319 54360
7216 106591 66240
1408 16797 11260
9158 129422 84940
5534 78271 48400
7306 113937 63840
857 9839 6100
3518 47097 28760
3870 50023 31040
573 5328 3960
3211 44298 24960
4786 64803 40000
8374 133427 73020
476 4771 3260
9862 166386 84140
9983 151768 89760
1862 22409 13980
907 10781 6240
8449 121771 74580
3707 51932 29700
6649 94628 57660
5346 77249 55860
9028 150623 78400
5494 86809 46440
5335 72579 46180
7071 100641 61140
2374 31015 18180
5897 85094 49860
9165 139644 81920
9731 148665 88020
5636 79313 49520
759 7878 5400
1857 20869 14820
8270 122573 72340
9749 152155 85720
4801 63832 41940
7014 108188 59240
9671 143089 85620
6527 97228 55380
6990 113516 61060
637 6423 4360
895 9846 6260
3428 46838 26780
5142 71830 43700
7459 111998 64580
2215 25929 17680
1517 19044 11440
3813 54322 30360
2383 31163 18100
